Place 1;Place 2;Distance (km)
Lockhart Shire;Shoalhaven, City of;4800.14
Lockhart Shire;Snowy Monaro Regional Council;12764.7
Lockhart Shire;Snowy Valleys Council;11970.29
Lockhart Shire;Strathfield, Municipality of;12966.08
Lockhart Shire;Sutherland Shire;12958.13
Lockhart Shire;Sydney, City of;4800.14
Lockhart Shire;Tamworth Regional Council;11970.29
Lockhart Shire;Temora Shire;0.0
Lockhart Shire;Tenterfield Shire;0.0
Lockhart Shire;Tweed Shire;13176.16
Lockhart Shire;Unincorporated Far West;11475.95
Lockhart Shire;Upper Hunter Shire;12967.61
Lockhart Shire;Upper Lachlan Shire;12811.59
Lockhart Shire;Uralla Shire;0.0
Lockhart Shire;Wagga Wagga, City of;12625.5
Lockhart Shire;Walcha Shire;0.0
Lockhart Shire;Walgett Shire;0.0
Lockhart Shire;Warren Shire;0.0
Lockhart Shire;Warrumbungle Shire;12812.37
Lockhart Shire;Waverley Council;11970.29
Lockhart Shire;Weddin Shire;0.0
Lockhart Shire;Wentworth Shire;0.0
Lockhart Shire;Willoughby, City of;12976.82
Lockhart Shire;Wingecarribee Shire;0.0
Lockhart Shire;Wollondilly Shire;0.0
Lockhart Shire;Wollongong, City of;12948.04
Lockhart Shire;Woollahra, Municipality of;4800.14
Lockhart Shire;Yass Valley Council;12760.18
Lord Howe Island;Maitland, City of;16815.65
Lord Howe Island;Mid-Coast Council;14230.54
Lord Howe Island;Mid-Western Regional;888.67
Lord Howe Island;Moree Plains Shire;942.71
Lord Howe Island;Mosman Council;775.94
Lord Howe Island;Murray River Council;14230.54
Lord Howe Island;Murrumbidgee Council;1304.13
Lord Howe Island;Muswellbrook Shire;13723.33
Lord Howe Island;Nambucca Shire;605.85
Lord Howe Island;Narrandera Shire;13723.33
Lord Howe Island;Narrabri Shire;13723.33
Lord Howe Island;Narromine Shire;13723.33
Lord Howe Island;Newcastle, City of;703.31
Lord Howe Island;Northern Beaches Council;14230.54
Lord Howe Island;North Sydney Council;14230.54
Lord Howe Island;Oberon Shire;13723.33
Lord Howe Island;Orange, City of;15195.87
Lord Howe Island;Parkes Shire;13723.33
Lord Howe Island;Parramatta Council, City of;796.37
Lord Howe Island;Penrith, City of;16815.65
Lord Howe Island;Port Macquarie-Hastings Council;618.21
Lord Howe Island;Port Stephens Council;14230.54
Lord Howe Island;Queanbeyan-Palerang Regional Council;1735.06
Lord Howe Island;Randwick, City of;778.57
Lord Howe Island;Richmond Valley Council;14230.54
Lord Howe Island;Ryde, City of;786.82
Lord Howe Island;Singleton Council;14230.54
Lord Howe Island;Shellharbour, City of;835.94
Lord Howe Island;Shoalhaven, City of;16815.65
Lord Howe Island;Snowy Monaro Regional Council;1083.15
Lord Howe Island;Snowy Valleys Council;14230.54
Lord Howe Island;Strathfield, Municipality of;791.56
Lord Howe Island;Sutherland Shire;805.6
Lord Howe Island;Sydney, City of;16815.65
Lord Howe Island;Tamworth Regional Council;14230.54
Lord Howe Island;Temora Shire;13723.33
Lord Howe Island;Tenterfield Shire;13723.33
Lord Howe Island;Tweed Shire;658.23
Lord Howe Island;Unincorporated Far West;14538.08
Lord Howe Island;Upper Hunter Shire;755.92
Lord Howe Island;Upper Lachlan Shire;954.67
Lord Howe Island;Uralla Shire;13723.33
Lord Howe Island;Wagga Wagga, City of;1157.71
Lord Howe Island;Walcha Shire;13723.33
Lord Howe Island;Walgett Shire;13723.33
Lord Howe Island;Warren Shire;13723.33
Lord Howe Island;Warrumbungle Shire;911.36
Lord Howe Island;Waverley Council;14230.54
Lord Howe Island;Weddin Shire;13723.33
Lord Howe Island;Wentworth Shire;13723.33
Lord Howe Island;Willoughby, City of;778.96
Lord Howe Island;Wingecarribee Shire;13723.33
Lord Howe Island;Wollondilly Shire;13723.33
Lord Howe Island;Wollongong, City of;827.53
Lord Howe Island;Woollahra, Municipality of;16815.65
Lord Howe Island;Yass Valley Council;1025.24
Maitland, City of;Mid-Coast Council;7542.28
Maitland, City of;Mid-Western Regional;16280.78
Maitland, City of;Moree Plains Shire;16008.07
Maitland, City of;Mosman Council;16476.24
Maitland, City of;Murray River Council;7542.28
Maitland, City of;Murrumbidgee Council;16140.92
Maitland, City of;Muswellbrook Shire;4800.14
Maitland, City of;Nambucca Shire;16339.29
Maitland, City of;Narrandera Shire;4800.14
Maitland, City of;Narrabri Shire;4800.14
Maitland, City of;Narromine Shire;4800.14
Maitland, City of;Newcastle, City of;16445.28
Maitland, City of;Northern Beaches Council;7542.28
Maitland, City of;North Sydney Council;7542.28
Maitland, City of;Oberon Shire;4800.14
Maitland, City of;Orange, City of;6225.91
Maitland, City of;Parkes Shire;4800.14
Maitland, City of;Parramatta Council, City of;16458.86
Maitland, City of;Penrith, City of;0.0
Maitland, City of;Port Macquarie-Hastings Council;16380.12
Maitland, City of;Port Stephens Council;7542.28
Maitland, City of;Queanbeyan-Palerang Regional Council;18533.09
Maitland, City of;Randwick, City of;16482.34
Maitland, City of;Richmond Valley Council;7542.28
Maitland, City of;Ryde, City of;16466.06
Maitland, City of;Singleton Council;7542.28
Maitland, City of;Shellharbour, City of;16505.42
Maitland, City of;Shoalhaven, City of;0.0
Maitland, City of;Snowy Monaro Regional Council;16498.29
Maitland, City of;Snowy Valleys Council;7542.28
Maitland, City of;Strathfield, Municipality of;16469.22
Maitland, City of;Sutherland Shire;16478.15
Maitland, City of;Sydney, City of;0.0
Maitland, City of;Tamworth Regional Council;7542.28
Maitland, City of;Temora Shire;4800.14
Maitland, City of;Tenterfield Shire;4800.14
Maitland, City of;Tweed Shire;16182.75
Maitland, City of;Unincorporated Far West;6889.76
Maitland, City of;Upper Hunter Shire;16319.91
Maitland, City of;Upper Lachlan Shire;16388.36
Maitland, City of;Uralla Shire;4800.14
Maitland, City of;Wagga Wagga, City of;16299.0
Maitland, City of;Walcha Shire;4800.14
Maitland, City of;Walgett Shire;4800.14
Maitland, City of;Warren Shire;4800.14
Maitland, City of;Warrumbungle Shire;16175.37
Maitland, City of;Waverley Council;7542.28
Maitland, City of;Weddin Shire;4800.14
Maitland, City of;Wentworth Shire;4800.14
Maitland, City of;Willoughby, City of;16471.62
Maitland, City of;Wingecarribee Shire;4800.14
Maitland, City of;Wollondilly Shire;4800.14
Maitland, City of;Wollongong, City of;16496.48
Maitland, City of;Woollahra, Municipality of;0.0
Maitland, City of;Yass Valley Council;16394.35
Mid-Coast Council;Mid-Western Regional;15113.35
Mid-Coast Council;Moree Plains Shire;15031.21
Mid-Coast Council;Mosman Council;15003.36
Mid-Coast Council;Murray River Council;0.0
Mid-Coast Council;Murrumbidgee Council;15532.86
Mid-Coast Council;Muswellbrook Shire;11970.29
Mid-Coast Council;Nambucca Shire;14781.56
Mid-Coast Council;Narrandera Shire;11970.29
Mid-Coast Council;Narrabri Shire;11970.29
Mid-Coast Council;Narromine Shire;11970.29
Mid-Coast Council;Newcastle, City of;14933.48
Mid-Coast Council;Northern Beaches Council;0.0
Mid-Coast Council;North Sydney Council;0.0
Mid-Coast Council;Oberon Shire;11970.29
Mid-Coast Council;Orange, City of;1353.76
Mid-Coast Council;Parkes Shire;11970.29
Mid-Coast Council;Parramatta Council, City of;15024.4
Mid-Coast Council;Penrith, City of;7542.28
Mid-Coast Council;Port Macquarie-Hastings Council;14822.6
Mid-Coast Council;Port Stephens Council;0.0
Mid-Coast Council;Queanbeyan-Palerang Regional Council;13502.98
Mid-Coast Council;Randwick, City of;15005.09
Mid-Coast Council;Richmond Valley Council;0.0
Mid-Coast Council;Ryde, City of;15014.67
Mid-Coast Council;Singleton Council;0.0
Mid-Coast Council;Shellharbour, City of;15053.15
Mid-Coast Council;Shoalhaven, City of;7542.28
Mid-Coast Council;Snowy Monaro Regional Council;15261.86
Mid-Coast Council;Snowy Valleys Council;0.0
Mid-Coast Council;Strathfield, Municipality of;15018.78
Mid-Coast Council;Sutherland Shire;15030.68
Mid-Coast Council;Sydney, City of;7542.28
Mid-Coast Council;Tamworth Regional Council;0.0
Mid-Coast Council;Temora Shire;11970.29
Mid-Coast Council;Tenterfield Shire;11970.29
Mid-Coast Council;Tweed Shire;14660.58
Mid-Coast Council;Unincorporated Far West;834.7
Mid-Coast Council;Upper Hunter Shire;14970.42
Mid-Coast Council;Upper Lachlan Shire;15180.34
Mid-Coast Council;Uralla Shire;11970.29
Mid-Coast Council;Wagga Wagga, City of;15378.39
Mid-Coast Council;Walcha Shire;11970.29
Mid-Coast Council;Walgett Shire;11970.29
Mid-Coast Council;Warren Shire;11970.29
Mid-Coast Council;Warrumbungle Shire;15109.75
Mid-Coast Council;Waverley Council;0.0
Mid-Coast Council;Weddin Shire;11970.29
Mid-Coast Council;Wentworth Shire;11970.29
Mid-Coast Council;Willoughby, City of;15006.69
Mid-Coast Council;Wingecarribee Shire;11970.29
Mid-Coast Council;Wollondilly Shire;11970.29
Mid-Coast Council;Wollongong, City of;15047.49
Mid-Coast Council;Woollahra, Municipality of;7542.28
Mid-Coast Council;Yass Valley Council;15243.1
Mid-Western Regional;Moree Plains Shire;379.75
Mid-Western Regional;Mosman Council;195.54
Mid-Western Regional;Murray River Council;15113.35
Mid-Western Regional;Murrumbidgee Council;447.77
Mid-Western Regional;Muswellbrook Shire;12839.76
Mid-Western Regional;Nambucca Shire;359.53
Mid-Western Regional;Narrandera Shire;12839.76
Mid-Western Regional;Narrabri Shire;12839.76
Mid-Western Regional;Narromine Shire;12839.76
Mid-Western Regional;Newcastle, City of;195.1
Mid-Western Regional;Northern Beaches Council;15113.35
Mid-Western Regional;North Sydney Council;15113.35
Mid-Western Regional;Oberon Shire;12839.76
Mid-Western Regional;Orange, City of;16034.61
Mid-Western Regional;Parkes Shire;12839.76
Mid-Western Regional;Parramatta Council, City of;179.11
Mid-Western Regional;Penrith, City of;16280.78
Mid-Western Regional;Port Macquarie-Hastings Council;298.89
Mid-Western Regional;Port Stephens Council;15113.35
Mid-Western Regional;Queanbeyan-Palerang Regional Council;2264.12
Mid-Western Regional;Randwick, City of;201.94
Mid-Western Regional;Richmond Valley Council;15113.35
Mid-Western Regional;Ryde, City of;185.68
Mid-Western Regional;Singleton Council;15113.35
Mid-Western Regional;Shellharbour, City of;243.06
Mid-Western Regional;Shoalhaven, City of;16280.78
Mid-Western Regional;Snowy Monaro Regional Council;431.06
Mid-Western Regional;Snowy Valleys Council;15113.35
Mid-Western Regional;Strathfield, Municipality of;189.49
Mid-Western Regional;Sutherland Shire;201.79
Mid-Western Regional;Sydney, City of;16280.78
Mid-Western Regional;Tamworth Regional Council;15113.35
Mid-Western Regional;Temora Shire;12839.76
Mid-Western Regional;Tenterfield Shire;12839.76
Mid-Western Regional;Tweed Shire;584.29
Mid-Western Regional;Unincorporated Far West;15391.16
Mid-Western Regional;Upper Hunter Shire;151.01
Mid-Western Regional;Upper Lachlan Shire;197.13
Mid-Western Regional;Uralla Shire;12839.76
Mid-Western Regional;Wagga Wagga, City of;354.03
Mid-Western Regional;Walcha Shire;12839.76
Mid-Western Regional;Walgett Shire;12839.76
Mid-Western Regional;Warren Shire;12839.76
Mid-Western Regional;Warrumbungle Shire;129.55
Mid-Western Regional;Waverley Council;15113.35
Mid-Western Regional;Weddin Shire;12839.76
Mid-Western Regional;Wentworth Shire;12839.76
Mid-Western Regional;Willoughby, City of;190.94
Mid-Western Regional;Wingecarribee Shire;12839.76
Mid-Western Regional;Wollondilly Shire;12839.76
Mid-Western Regional;Wollongong, City of;229.46
Mid-Western Regional;Woollahra, Municipality of;16280.78
Mid-Western Regional;Yass Valley Council;277.42
Moree Plains Shire;Mosman Council;537.37
Moree Plains Shire;Murray River Council;15031.21
Moree Plains Shire;Murrumbidgee Council;719.08
Moree Plains Shire;Muswellbrook Shire;12820.17
Moree Plains Shire;Nambucca Shire;347.03
Moree Plains Shire;Narrandera Shire;12820.17
Moree Plains Shire;Narrabri Shire;12820.17
Moree Plains Shire;Narromine Shire;12820.17
Moree Plains Shire;Newcastle, City of;462.52
Moree Plains Shire;Northern Beaches Council;15031.21
Moree Plains Shire;North Sydney Council;15031.21
Moree Plains Shire;Oberon Shire;12820.17
Moree Plains Shire;Orange, City of;15863.13
Moree Plains Shire;Parkes Shire;12820.17
Moree Plains Shire;Parramatta Council, City of;529.83
Moree Plains Shire;Penrith, City of;16008.07
Moree Plains Shire;Port Macquarie-Hastings Council;373.23
Moree Plains Shire;Port Stephens Council;15031.21
Moree Plains Shire;Queanbeyan-Palerang Regional Council;2525.89
Moree Plains Shire;Randwick, City of;546.07
Moree Plains Shire;Richmond Valley Council;15031.21
Moree Plains Shire;Ryde, City of;532.17
Moree Plains Shire;Singleton Council;15031.21
Moree Plains Shire;Shellharbour, City of;609.81
Moree Plains Shire;Shoalhaven, City of;16008.07
Moree Plains Shire;Snowy Monaro Regional Council;806.9
Moree Plains Shire;Snowy Valleys Council;15031.21
Moree Plains Shire;Strathfield, Municipality of;538.89
Moree Plains Shire;Sutherland Shire;558.38
Moree Plains Shire;Sydney, City of;16008.07
Moree Plains Shire;Tamworth Regional Council;15031.21
Moree Plains Shire;Temora Shire;12820.17
Moree Plains Shire;Tenterfield Shire;12820.17
Moree Plains Shire;Tweed Shire;370.83
Moree Plains Shire;Unincorporated Far West;15243.05
Moree Plains Shire;Upper Hunter Shire;331.56
Moree Plains Shire;Upper Lachlan Shire;574.92
Moree Plains Shire;Uralla Shire;12820.17
Moree Plains Shire;Wagga Wagga, City of;692.12
Moree Plains Shire;Walcha Shire;12820.17
Moree Plains Shire;Walgett Shire;12820.17
Moree Plains Shire;Warren Shire;12820.17
Moree Plains Shire;Warrumbungle Shire;253.04
Moree Plains Shire;Waverley Council;15031.21
Moree Plains Shire;Weddin Shire;12820.17
Moree Plains Shire;Wentworth Shire;12820.17
Moree Plains Shire;Willoughby, City of;533.8
Moree Plains Shire;Wingecarribee Shire;12820.17
Moree Plains Shire;Wollondilly Shire;12820.17
Moree Plains Shire;Wollongong, City of;594.04
Moree Plains Shire;Woollahra, Municipality of;16008.07
Moree Plains Shire;Yass Valley Council;649.04
Mosman Council;Murray River Council;15003.36
Mosman Council;Murrumbidgee Council;529.51
Mosman Council;Muswellbrook Shire;12980.71
Mosman Council;Nambucca Shire;377.54
Mosman Council;Narrandera Shire;12980.71
Mosman Council;Narrabri Shire;12980.71
Mosman Council;Narromine Shire;12980.71
Mosman Council;Newcastle, City of;112.17
Mosman Council;Northern Beaches Council;15003.36
Mosman Council;North Sydney Council;15003.36
Mosman Council;Oberon Shire;12980.71
Mosman Council;Orange, City of;15965.68
Mosman Council;Parkes Shire;12980.71
Mosman Council;Parramatta Council, City of;21.88
Mosman Council;Penrith, City of;16476.24
Mosman Council;Port Macquarie-Hastings Council;296.68
Mosman Council;Port Stephens Council;15003.36
Mosman Council;Queanbeyan-Palerang Regional Council;2069.53
Mosman Council;Randwick, City of;9.07
Mosman Council;Richmond Valley Council;15003.36
Mosman Council;Ryde, City of;12.1
Mosman Council;Singleton Council;15003.36
Mosman Council;Shellharbour, City of;90.13
Mosman Council;Shoalhaven, City of;16476.24
Mosman Council;Snowy Monaro Regional Council;358.66
Mosman Council;Snowy Valleys Council;15003.36
Mosman Council;Strathfield, Municipality of;15.67
Mosman Council;Sutherland Shire;35.69
Mosman Council;Sydney, City of;16476.24
Mosman Council;Tamworth Regional Council;15003.36
Mosman Council;Temora Shire;12980.71
Mosman Council;Tenterfield Shire;12980.71
Mosman Council;Tweed Shire;639.38
Mosman Council;Unincorporated Far West;15311.74
Mosman Council;Upper Hunter Shire;215.2
Mosman Council;Upper Lachlan Shire;178.92
Mosman Council;Uralla Shire;12980.71
Mosman Council;Wagga Wagga, City of;383.2
Mosman Council;Walcha Shire;12980.71
Mosman Council;Walgett Shire;12980.71
Mosman Council;Warren Shire;12980.71
Mosman Council;Warrumbungle Shire;311.1
Mosman Council;Waverley Council;15003.36
Mosman Council;Weddin Shire;12980.71
Mosman Council;Wentworth Shire;12980.71
Mosman Council;Willoughby, City of;4.68
Mosman Council;Wingecarribee Shire;12980.71
Mosman Council;Wollondilly Shire;12980.71
Mosman Council;Wollongong, City of;73.86
Mosman Council;Woollahra, Municipality of;16476.24
Mosman Council;Yass Valley Council;255.19
Murray River Council;Murrumbidgee Council;15532.86
Murray River Council;Muswellbrook Shire;11970.29
Murray River Council;Nambucca Shire;14781.56
Murray River Council;Narrandera Shire;11970.29
Murray River Council;Narrabri Shire;11970.29
Murray River Council;Narromine Shire;11970.29
Murray River Council;Newcastle, City of;14933.48
Murray River Council;Northern Beaches Council;0.0
Murray River Council;North Sydney Council;0.0
Murray River Council;Oberon Shire;11970.29
Murray River Council;Orange, City of;1353.76
Murray River Council;Parkes Shire;11970.29
Murray River Council;Parramatta Council, City of;15024.4
Murray River Council;Penrith, City of;7542.28
Murray River Council;Port Macquarie-Hastings Council;14822.6
Murray River Council;Port Stephens Council;0.0
Murray River Council;Queanbeyan-Palerang Regional Council;13502.98
Murray River Council;Randwick, City of;15005.09
Murray River Council;Richmond Valley Council;0.0
Murray River Council;Ryde, City of;15014.67
Murray River Council;Singleton Council;0.0
Murray River Council;Shellharbour, City of;15053.15
Murray River Council;Shoalhaven, City of;7542.28
Murray River Council;Snowy Monaro Regional Council;15261.86
Murray River Council;Snowy Valleys Council;0.0
Murray River Council;Strathfield, Municipality of;15018.78
Murray River Council;Sutherland Shire;15030.68
Murray River Council;Sydney, City of;7542.28
Murray River Council;Tamworth Regional Council;0.0
Murray River Council;Temora Shire;11970.29
Murray River Council;Tenterfield Shire;11970.29
Murray River Council;Tweed Shire;14660.58
Murray River Council;Unincorporated Far West;834.7
Murray River Council;Upper Hunter Shire;14970.42
Murray River Council;Upper Lachlan Shire;15180.34
Murray River Council;Uralla Shire;11970.29
Murray River Council;Wagga Wagga, City of;15378.39
Murray River Council;Walcha Shire;11970.29
Murray River Council;Walgett Shire;11970.29
Murray River Council;Warren Shire;11970.29
Murray River Council;Warrumbungle Shire;15109.75
Murray River Council;Waverley Council;0.0
Murray River Council;Weddin Shire;11970.29
Murray River Council;Wentworth Shire;11970.29
Murray River Council;Willoughby, City of;15006.69
Murray River Council;Wingecarribee Shire;11970.29
Murray River Council;Wollondilly Shire;11970.29
Murray River Council;Wollongong, City of;15047.49
Murray River Council;Woollahra, Municipality of;7542.28
Murray River Council;Yass Valley Council;15243.1
Murrumbidgee Council;Muswellbrook Shire;12460.67
Murrumbidgee Council;Nambucca Shire;806.91
Murrumbidgee Council;Narrandera Shire;12460.67
Murrumbidgee Council;Narrabri Shire;12460.67
Murrumbidgee Council;Narromine Shire;12460.67
Murrumbidgee Council;Newcastle, City of;605.5
Murrumbidgee Council;Northern Beaches Council;15532.86
Murrumbidgee Council;North Sydney Council;15532.86
Murrumbidgee Council;Oberon Shire;12460.67
